chebi_id,chebi_name,drug_name,ctd_chem_id,ctd_chem_name
CHEBI:5931,insulin (human),Insulin,,
CHEBI:35358,sulfonamide,,,
CHEBI:38313,diazines,,,
CHEBI:6801,metformin,Metformin,,
CHEBI:15841,polypeptide,,,
CHEBI:33655,aromatic compound,,,
CHEBI:33582,carbon group molecular entity,,,
CHEBI:25693,organic heteromonocyclic compound,,,
CHEBI:145810,insulin,,,
CHEBI:35381,monosaccharide,,,
CHEBI:24436,guanidines,,,
CHEBI:23449,cyclic peptide,,,
CHEBI:33832,organic cyclic compound,,,
CHEBI:36962,organochalcogen compound,,,
CHEBI:62733,aromatic amide,,,
CHEBI:33304,chalcogen molecular entity,,,
CHEBI:36357,polyatomic entity,,,
CHEBI:33552,sulfonic acid derivative,,,
CHEBI:24532,organic heterocyclic compound,,,
CHEBI:15693,aldose,,,
CHEBI:10070,Xanthoxylin,Sitagliptin,,
CHEBI:51143,nitrogen molecular entity,,,
CHEBI:33261,organosulfur compound,,,
CHEBI:23367,molecular entity,,,
CHEBI:33659,organic aromatic compound,,,
CHEBI:26421,pyridines,,,
CHEBI:17234,glucose,Glucose,,
CHEBI:32988,amide,,,
CHEBI:25905,peptide hormone,,,
CHEBI:38106,organosulfur heterocyclic compound,,,
CHEBI:33917,aldohexose,,,
CHEBI:33839,macromolecule,,,
CHEBI:33670,heteromonocyclic compound,,,
CHEBI:38314,pyrazines,,,
CHEBI:16670,peptide,,,
CHEBI:35622,thiazolidines,,,
CHEBI:33285,heteroorganic entity,,,
CHEBI:33241,oxoacid derivative,,,
CHEBI:33579,main group molecular entity,,,
CHEBI:76983,N-sulfonylurea,,,
CHEBI:36586,carbonyl compound,,,
CHEBI:26835,sulfur molecular entity,,,
CHEBI:36963,organooxygen compound,,,
CHEBI:33860,aromatic amine,,,
CHEBI:24431,chemical entity,,,
CHEBI:29347,monocarboxylic acid amide,,,
CHEBI:33302,pnictogen molecular entity,,,
CHEBI:24533,heterodetic cyclic peptide,,,
CHEBI:37577,heteroatomic molecular entity,,,
CHEBI:33256,primary amide,,,
CHEBI:33675,p-block molecular entity,,,
CHEBI:33424,sulfur oxoacid derivative,,,
CHEBI:50047,organic amino compound,,,
CHEBI:78616,carbohydrates and carbohydrate derivatives,,,
CHEBI:25806,oxygen molecular entity,,,
CHEBI:50122,rosiglitazone,Rosiglitazone,,
CHEBI:35352,organonitrogen compound,,,
CHEBI:18133,hexose,,,
CHEBI:5391,glucagon,Glucagon,,
CHEBI:33661,monocyclic compound,,,
CHEBI:35701,ester,,,
CHEBI:47857,ureas,,,
CHEBI:36587,organic oxo compound,,,
CHEBI:38207,aminopyridine,,,
CHEBI:25367,molecule,,,
CHEBI:33595,cyclic compound,,,
CHEBI:33308,carboxylic ester,,,
CHEBI:38101,organonitrogen heterocyclic compound,,,
CHEBI:50990,thiazolidinediones,,,
CHEBI:72695,organic molecule,,,
CHEBI:16646,carbohydrate,,,
CHEBI:37622,carboxamide,,,
CHEBI:5686,heterocyclic compound,,,
CHEBI:5384,glipizide,Glipizide,,
CHEBI:50860,organic molecular entity,,,
