uniprot_id,gene_symbol,protein_name
P01308,INS,Insulin
P06213,INSR,Insulin receptor
P11168,SLC2A2,"Solute carrier family 2, facilitated glucose transporter member 2"
P20823,HNF1A,Hepatocyte nuclear factor 1-alpha
P27986,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha
P35557,GCK,Hexokinase-4
P35568,IRS1,Insulin receptor substrate 1
P37231,PPARG,Peroxisome proliferator-activated receptor gamma
P41235,HNF4A,Hepatocyte nuclear factor 4-alpha
P52945,PDX1,Pancreas/duodenum homeobox protein 1
Q09428,ABCC8,ATP-binding cassette sub-family C member 8
Q12778,FOXO1,Forkhead box protein O1
Q14654,KCNJ11,ATP-sensitive inward rectifier potassium channel 11
Q9NQB0,TCF7L2,Transcription factor 7-like 2
Q9Y4H2,IRS2,Insulin receptor substrate 2
